iter	Passed	Remaining
0	254	203611
1	515	205794
2	592	157320
3	711	141493
4	816	12985255	990	13103166	1224	138729
7	1383	136938
8	1580	138894
9	1754	138597
10	1928	138328
11	2061	135351
12	2134	129191113	2188	122862
14	2233	116869
15	2274	111463
16	2305	106180
17	2345	101896
18	2383	97986
19	2422	94465
20	2458	91199
21	2503	88517
22	2547	86057
23	2603	84194
24	2713	84126
25	2794	83185
26	2932	83966
27	2979	82154
28	3028	80506
29	3068	78758
30	3097	76834
31	3121	74922
32	3139	72976
33	3162	71246
34	3184	69612
35	3208	68100
36	3232	66656
37	3252	65224
38	3270	63818
39	3302	62750
40	3342	61870
41	3373	60891
42	3409	60031
43	3440	59116
44	3474	58287
45	3500	57384
46	3533	56616
47	3562	55807
48	3601	55192
49	3632	54484
50	3682	54083
51	3727	53625
52	3777	53236
53	3810	52638
54	3840	52014
55	3859	51281
56	3905	50912
57	3985	50992
58	4138	51980
59	4179	51544
60	4200	50889
61	4251	50611
62	4277	50044
63	4305	49511
64	4336	49031
65	4371	48621
66	4394	48078
67	4414	47520
68	4446	47104
69	4467	46592
70	4489	46100
71	4523	45735
72	4546	45280
73	4568	44823
74	4600	44471
75	4633	44136
76	4662	43777
77	4693	43446
78	4715	43038
79	4737	42640
80	4757	42228
81	4783	41886
82	4807	41530
83	4828	41154
84	4854	40838
85	4875	40478
86	4896	40125
87	4923	39832
88	4946	39519
89	4982	39306
90	5017	39094
91	5069	39013
92	5106	38822
93	5131	38538
94	5177	38424
95	5207	38191
96	5239	37973
97	5268	37737
98	5294	37490
99	5317	37219
100	5344	36985
101	5366	36724
102	5391	36483
103	5427	36320
104	5482	36289
105	5525	36178
106	5546	35923
107	5574	35716
108	5595	35470
109	5613	35210
110	5633	34966
111	5654	34735
112	5679	34531
113	5723	34443
114	5751	34261
115	5779	34076
116	5855	34181
117	5889	34039
118	5927	33919
119	5960	33777
120	5982	33570
121	6005	33377
122	6028	33180
123	6056	33019
124	6097	32926
125	6263	33507
126	6342	33611
127	6395	33578
128	6435	33475
129	6475	33375
130	6499	33192
131	6558	33189
132	6588	33041
133	6616	32887
134	6682	32919
135	6702	32725
136	6720	32521
137	6741	32341
138	6761	32154
139	6788	32004
140	6812	31837
141	6835	31673
142	6854	31493
143	6886	31371
144	6912	31227
145	6936	31069
146	6958	30911
147	6978	30742
148	7000	30585
149	7021	30426
150	7040	30258
151	7059	30093
152	7077	29930
153	7098	29775
154	7125	29650
155	7142	29485
156	7160	29324
157	7186	29202
158	7203	29041
159	7220	28882
160	7237	28726
161	7256	28578
162	7274	28429
163	7292	28279
164	7309	28128
165	7330	27998
166	7349	27857
167	7369	27722
168	7390	27595
169	7409	27458
170	7428	27325
171	7448	27197
172	7468	27067
173	7491	26950
174	7513	26833
175	7554	26782
176	7591	26721
177	7620	26628
178	7650	26542
179	7671	26423
180	7695	26317
181	7716	26201
182	7734	26076
183	7765	25996
184	7781	25868
185	7805	25767
186	7851	25737
187	7892	25693
188	7929	25634
189	7964	25570
190	7990	25476
191	8050	25494
192	8096	25463
193	8140	25429
194	8181	25384
195	8203	25279
196	8227	25182
197	8263	25125
198	8287	25028
199	8310	24932
200	8331	24828
201	8363	24758
202	8387	24666
203	8407	24561
204	8430	24469
205	8449	24364
206	8466	24254
207	8492	24170
208	8515	24079
209	8539	23992
210	8565	23910
211	8591	23828
212	8615	23742
213	8639	23656
214	8658	23558
215	8683	23476
216	8705	23387
217	8725	23295
218	8744	23198
219	8764	23105
220	8788	23025
221	8808	22933
222	8828	22842
223	8847	22750
224	8870	22670
225	8895	22592
226	8918	22513
227	8942	22434
228	8993	22424
229	9027	22372
230	9060	22318
231	9083	22238
232	9117	22188
233	9140	22108
234	9161	22026
235	9181	21943
236	9201	21858
237	9222	21778
238	9241	21693
239	9268	21625
240	9301	21574
241	9327	21506
242	9357	21448
243	9383	21383
244	9404	21303
245	9426	21228
246	9451	21161
247	9491	21126
248	9523	21075
249	9600	21120
250	9648	21103
251	9739	21179
252	9777	21139
253	9808	21083
254	9830	21009
255	9849	20930
256	9866	20847
257	9885	20768
258	9901	20682
259	9919	20601
260	9937	20521
261	9953	20439
262	9972	20362
263	9989	20282
264	10015	20219
265	10034	20144
266	10054	20072
267	10074	19999
